tweet_text,label,type_of_disaster,hashtags,clean_text
maggiecampionn take shelter hurricane sandy much fun lovemyteenagedaughter,1,hurricane,['lovemyteenagedaughter'],maggiecampionn take shelter hurricane sandy much fun lovemyteenagedaughter
ve paner user supply much need supply logistics irma relief effo irmarecovery,1,hurricane,,ve paner user supply much need supply logistics irma relief effo irmarecovery
philstarnews pagasa see improve weather phl weekend philstarnews t co ebsji lnsh maringupdates,1,flood,['maringupdates'],philstarnews pagasa see improve weather phl weekend philstarnews t co ebsji lnsh maringupdates
user user aizzgiant user buenomel number user betchieflores bravehea wallace aldubxdtbyg,0,not disaster,,user user aizzgiant user buenomel number user betchieflores bravehea wallace aldubxdtbyg
yep sick power till number t apparently bloody hell,1,flood,,yep sick power till number t apparently bloody hell
let forget florida food fema hurricane michael s survivor furious thebea st iv u c source twitter desktop thedailybeast,1,hurricane,,let forget florida food fema hurricane michael s survivor furious thebea st iv u c source twitter desktop thedailybeast
wind go mile hour food everyone florida keep safe hurricane lot big andrew,0,not disaster,,wind go mile hour food everyone florida keep safe hurricane lot big andrew
pagasa rubyph intensify,1,hurricane,,pagasa rubyph intensify
lillaayyyyy don t know ll save life drown,0,not disaster,,lillaayyyyy don t know ll save life drown
yychelps hey yycflood volunteer tell em lanny sent https t co kcomj gpk photo global smith,1,flood,['yycflood'],yychelps hey yycflood volunteer tell em lanny sent  t co kcomj gpk photo global smith
niallsmybabe worry do anyway turn faves please xx,0,not disaster,,niallsmybabe worry do anyway turn faves please xx
nascar hopeful cena angle question punk s motif chris brown tweet rrw wrestlinginc c,0,not disaster,,nascar hopeful cena angle question punk s motif chris brown tweet rrw wrestlinginc c
break hea smile user rideau park school yycflood yycbe,1,flood,,break hea smile user rideau park school yycflood yycbe
ll need winter glove tonight tomorrow seanmparker torrancegaucher exclusive interview burlington redcrossvtnhv volunteer california wildfire shelter join local news local news wvnywfff,1,wildfire,,ll need winter glove tonight tomorrow seanmparker torrancegaucher exclusive interview burlington redcrossvtnhv volunteer california wildfire shelter join local news local news wvnywfff
car road even s blizzard s probably safe time ride bike right now,1,blizzard,,car road even s blizzard s probably safe time ride bike right now
microsoft edge il browser di windows number,0,not disaster,,microsoft edge il browser di windows number
florida sheriff threaten arrest hurricane irma shelter fugitive promise safe shelter jail thesent nl emf oz pic twitter shlnom,0,not disaster,,florida sheriff threaten arrest hurricane irma shelter fugitive promise safe shelter jail thesent nl emf oz pic twitter shlnom
thought mexico devastate eahquake last night,1,earthquake,,thought mexico devastate eahquake last night
secondly video actually see people car drive w tht big as tornado background o o,1,tornado,,secondly video actually see people car drive w tht big as tornado background o o
ready catch world record fish sarasota news,0,not disaster,,ready catch world record fish sarasota news
want eat healthy make hot pocket,0,not disaster,,want eat healthy make hot pocket
least number child number people kill tornado slam oklahoma cnn,1,tornado,,least number child number people kill tornado slam oklahoma cnn
love kid repeat go school em repeat,0,not disaster,,love kid repeat go school em repeat
melloncatis flood emergency bloody hell australia scary place live live adelaide neverleaving,1,flood,['neverleaving'],melloncatis flood emergency bloody hell australia scary place live live adelaide neverleaving
video re plan bad hop best australia declares fire emergency,1,wildfire,,video re plan bad hop best australia declares fire emergency
user u stop follow repeat m sad,1,earthquake,,user u stop follow repeat m sad
sectyec eahquake hora utc utc mag lat lon loc km al de calama chile sismo,0,not disaster,"['earthquake', 'chile', 'sismo']",sectyec eahquake hora utc utc mag lat lon loc km al de calama chile sismo
govt always tell people evacuate hurricane understand poor ppl car hotel place go harvey,1,hurricane,['harvey'],govt always tell people evacuate hurricane understand poor ppl car hotel place go harvey
